date,leading_indicator,coincident_indicator,lagging_indicator
1984-02-29,65.4961314,53.5486362,93.2108724
1984-03-31,65.5736691,54.1688908,91.6774606
1984-04-30,65.1161965,54.2837527,91.8457618
1984-05-31,65.9691117,55.6850684,90.2001491
1984-06-30,64.9843823,55.3577119,93.9214779
1984-07-31,63.4879038,54.1918632,96.7639
1984-08-31,62.2007773,54.0482858,99.606322
1984-09-30,60.8593744,53.1925642,100.9807826
1984-10-31,60.9369121,52.7101442,102.8601472
1984-11-30,60.8903896,52.3196135,103.3650512
1984-12-31,60.4329168,52.0554311,103.1873997
1985-01-31,60.3708866,52.3827876,104.0943567
1985-02-28,59.8668913,52.1186051,103.6829536
1985-03-31,60.0995045,51.9348261,103.8138546
1985-04-30,59.9676903,51.6074696,104.0569565
1985-05-31,60.5182083,50.9125548,101.5511371
1985-06-30,60.905897,50.631143,98.2973119
1985-07-31,61.2160479,50.2463555,96.6610492
1985-08-31,62.5109283,50.2118969,95.0434867
1985-09-30,62.9606473,50.7747204,91.9486127
1985-10-31,63.4181199,51.2169388,89.6952452
1985-11-30,64.7130002,51.3030853,86.8528231
1985-12-31,64.5734323,50.7689773,84.5994557
1986-01-31,64.5114021,49.7065043,84.2722032
1986-02-28,64.821553,49.2585428,82.9070926
1986-03-31,64.5346634,48.3051887,83.9449506
1986-04-30,65.7287447,49.3446893,83.3839463
1986-05-31,65.8993277,48.6670038,81.5980824
1986-06-30,65.8993277,48.8852415,81.2895301
1986-07-31,66.5041221,49.6605596,81.0651283
1986-08-31,66.7367354,49.4825236,80.2516719
1986-09-30,68.0006005,49.9821731,78.5499589
1986-10-31,68.8380081,50.0281177,77.3718497
1986-11-30,68.8380081,50.0108886,77.6897522
1986-12-31,68.4890883,50.2118969,77.0071969
1987-01-31,69.1559129,50.4473639,76.4461925
1987-02-28,69.6133855,50.7689773,76.9323962
1987-03-31,69.9855668,51.044646,75.9225884
1987-04-30,70.869497,51.4926076,75.4924851
1987-05-31,70.8850045,51.4638921,75.7729872
1987-06-30,70.9547885,51.992257,75.8197376
1987-07-31,71.1176177,52.5608236,75.2493832
1987-08-31,69.5125865,52.0898896,75.7729872
1987-09-30,71.79995,52.5665667,75.6514364
1987-10-31,72.5288047,53.2040504,75.604686
1987-11-30,73.4902727,53.5428932,75.8945383
1987-12-31,73.7771624,54.7546867,76.1843905
1988-01-31,74.0718058,55.5587203,75.857138
1988-02-29,74.3819568,56.8451739,76.1095899
1988-03-31,75.5527766,57.3390803,77.1006976
1988-04-30,75.4907465,57.0346962,78.1385556
1988-05-31,76.1343096,57.1208425,79.6626174
1988-06-30,76.0102493,58.2637189,80.3077724
1988-07-31,74.7696454,59.2859902,78.9052615
1988-08-31,75.0720426,60.2565735,79.98052
1988-09-30,74.3586954,60.6700765,80.5415242
1988-10-31,74.9495669,60.8021678,81.394072
1988-11-30,74.0382105,61.2558724,83.684864
1988-12-31,74.3894624,61.3994498,83.31854
1989-01-31,74.0287172,60.7791954,83.31854
1989-02-28,74.5318619,60.9859469,83.449399
1989-03-31,72.8135754,61.1122949,85.141747
1989-04-30,72.737629,61.9680165,85.141747
1989-05-31,71.1332621,61.8474114,86.301131
1989-06-30,71.1807286,61.9795026,87.6662809
1989-07-31,70.4022784,61.0433778,89.6016961
1989-08-31,69.8991337,60.6126455,90.9949234
1989-09-30,69.8801471,60.1187392,91.6120182
1989-10-31,69.908627,59.8488137,94.0898241
1989-11-30,69.5478818,59.6190898,94.201931
1989-12-31,68.1618607,59.3434211,94.4544249
1990-01-31,68.6744986,59.4353107,95.0341169
1990-02-28,67.7631423,59.2343023,95.8849536
1990-03-31,67.8201021,59.4410538,94.6881668
1990-04-30,66.9846921,58.7978269,94.5385558
1990-05-31,67.1650647,59.0907249,93.061299
1990-06-30,66.6524267,59.1941006,91.8645122
1990-07-31,65.7125905,58.6370202,91.6213436
1990-08-31,65.4467782,58.9184319,89.6671763
1990-09-30,64.9531269,58.1316277,89.4241091
1990-10-31,64.15569,58.4704704,87.4980192
1990-11-30,64.6873146,58.2350034,87.3389815
1990-12-31,64.668328,57.143815,87.9093482
1991-01-31,64.7442744,56.8853756,88.1244393
1991-02-28,65.7790436,56.1272868,88.2833757
1991-03-31,65.3328587,55.7424993,87.9841537
1991-04-30,65.2094458,56.3684968,86.1702721
1991-05-31,65.4277916,55.3404825,86.8621724
1991-06-30,65.1524861,55.3519687,86.0020104
1991-07-31,65.1524861,55.4438583,85.7027883
1991-08-31,64.9911,55.0820432,84.861277
1991-09-30,65.1714726,54.9212365,85.1510723
1991-10-31,65.7505637,54.0080841,85.9365302
1991-11-30,65.6841106,53.8587635,87.0865889
1991-12-31,65.2853922,54.0482858,86.3198831
1992-01-31,65.6746173,54.3124682,85.3006834
1992-02-29,66.3011748,54.0138271,84.5060015
1992-03-31,66.6144535,53.2901969,86.2544029
1992-04-30,66.4815474,52.8537216,85.4970225
1992-05-31,66.3486413,52.0784034,86.5068969
1992-06-30,66.4245876,51.1480217,87.1613944
1992-07-31,66.4245876,50.809179,85.6279828
1992-08-31,66.0068826,49.6261011,86.4507421
1992-09-30,66.756853,49.8213663,85.3380861
1992-10-31,66.7948262,50.2118969,83.7766985
1992-11-30,67.1175982,49.918999,82.8603816
1992-12-31,66.8992524,50.1085212,82.3274177
1993-01-31,67.8580752,49.8213663,83.3933456
1993-02-28,68.4846327,49.918999,83.7018929
1993-03-31,68.0194613,50.3899329,81.1960097
1993-04-30,68.9972707,49.5801562,82.1590546
1993-05-31,68.7219651,49.6031287,80.7566033
1993-06-30,69.1016969,50.1889246,80.4106532
1993-07-31,69.3770025,50.4243915,80.2048874
1993-08-31,70.2219058,50.7747204,81.177359
1993-09-30,70.5731577,51.0044443,80.4947841
1993-10-31,70.8864365,50.7632343,80.1581593
1993-11-30,72.0066453,50.8321513,77.9702501
1993-12-31,72.3104308,50.8436376,79.6532727
1994-01-31,73.7439184,50.1085212,79.9618201
1994-02-28,74.4749021,50.6139137,81.32697
1994-03-31,75.2913255,51.6993591,81.9907929
1994-04-30,76.3830545,52.2794118,81.9253127
1994-05-31,77.6361695,52.7560888,82.5050048
1994-06-30,79.0316839,54.1229459,82.2526122
1994-07-31,78.7658716,54.1229459,83.150177
1994-08-31,78.585499,54.4962473,83.7205436
1994-09-30,79.582295,55.4093997,83.7018929
1994-10-31,80.2847989,56.5867345,86.4974702
1994-11-30,81.1391954,58.1775725,87.3577335
1994-12-31,82.6391361,59.0907249,86.8621724
1995-01-31,81.5474071,60.4346095,85.9177781
1995-02-28,81.4904474,62.2551714,85.4690464
1995-03-31,80.161386,62.9328568,87.3951363
1995-04-30,80.1044262,62.1345663,87.8439694
1995-05-31,79.8860805,62.6571881,88.5919231
1995-06-30,78.9557375,62.1115939,89.7607339
1995-07-31,78.6424588,62.059906,89.9477476
1995-08-31,77.9399549,62.2092265,91.7802799
1995-09-30,79.905067,61.8933561,92.3973747
1995-10-31,77.9969147,61.4855963,93.1173524
1995-11-30,78.8892844,61.2041846,94.370294
1995-12-31,77.750089,61.347762,94.6414387
1996-01-31,77.0001187,61.2386431,95.76342
1996-02-29,76.4020411,60.9514883,96.4833977
1996-03-31,76.7627863,60.4575819,96.3618641
1996-04-30,76.7912662,61.703834,97.3529864
1996-05-31,76.240655,62.4963814,98.7741897
1996-06-30,75.6330841,62.3240885,98.7648644
1996-07-31,75.6046042,62.8754258,98.914374
1996-08-31,74.2660496,63.3693321,98.5123704
1996-09-30,75.2153791,62.77205,98.5590985
1996-10-31,77.1615047,63.6679731,97.3716371
1996-11-30,77.6361695,63.5243957,97.4090398
1996-12-31,77.009612,62.5710416,98.6993842
1997-01-31,76.4020411,62.8467103,100.2140438
1997-02-28,76.2881215,62.8007655,101.1117099
1997-03-31,76.6488667,61.9048424,100.9246961
1997-04-30,75.5191646,63.5703405,101.3641025
1997-05-31,74.4749021,63.1281221,100.8872934
1997-06-30,74.6932479,62.3872625,100.9807496
1997-07-31,74.2375697,62.4332074,100.877968
1997-08-31,74.7407144,61.6349168,101.1210352
1997-09-30,74.9021004,61.7382926,100.6909542
1997-10-31,74.5413552,61.7382926,100.298276
1997-11-30,74.0571971,60.8423694,99.5034928
1997-12-31,72.5287766,60.3312339,101.0649818
1998-01-31,73.1458407,60.2680597,102.3926276
1998-02-28,72.2914442,59.4353107,103.8886364
1998-03-31,71.7788062,58.9069458,104.3935229
1998-04-30,71.6933666,58.7691114,105.5997365
1998-05-31,70.5067046,58.2981775,106.0111668
1998-06-30,69.585855,57.9191331,109.8726718
1998-07-31,68.8548712,57.2816493,112.9489218
1998-08-31,68.589059,55.9664802,113.2761198
1998-09-30,67.4118904,56.2651212,115.9502648
1998-10-31,66.9751988,55.9492508,116.0624731
1998-11-30,67.335944,55.4438583,114.6786725
1998-12-31,67.8485819,55.0475846,112.1167358
1999-01-31,68.750445,55.2256206,107.7989982
1999-02-28,68.0859143,55.1394742,105.9744735
1999-03-31,69.0162573,55.3634549,104.3628101
1999-04-30,69.6523081,55.2543361,101.8997018
1999-05-31,70.6680907,55.311767,100.2779021
1999-06-30,71.6079269,54.9614382,98.9297811
1999-07-31,73.2787469,55.7310131,97.084984
1999-08-31,75.4527115,56.0181679,94.8550094
1999-09-30,76.9621455,56.437414,95.0171894
1999-10-31,78.3386733,56.1502592,94.1556083
1999-11-30,79.1266168,56.971522,93.6690684
1999-12-31,79.5917883,56.9485497,92.959531
2000-01-31,78.614,57.0809,93.0406
2000-02-29,80.9114,57.3208,92.2196
2000-03-31,80.3797,57.4531,92.4933
2000-04-30,80.3323,57.2298,93.1623
2000-05-31,80.655,57.4862,94.1252
2000-06-30,80.7974,57.8254,94.6726
2000-07-31,80.1899,57.8005,95.3314
2000-08-31,80.1994,58.181,95.2199
2000-09-30,80.2089,58.3878,95.0983
2000-10-31,79.8291,58.5781,95.2098
2000-11-30,79.2975,58.9668,95.4226
2000-12-31,79.269,59.1488,95.1591
2001-01-31,80.4462,59.5789,94.9361
2001-02-28,80.1519,60.0173,95.7774
2001-03-31,79.7057,59.8105,95.9801
2001-04-30,79.6677,59.7774,95.8281
2001-05-31,80.6171,59.5623,95.6659
2001-06-30,79.9146,59.5293,96.6086
2001-07-31,79.8481,59.1488,95.7673
2001-08-31,79.0602,58.9006,96.7809
2001-09-30,78.4716,59.0826,99.0311
2001-10-31,79.1646,59.8849,96.2538
2001-11-30,79.7152,60.191,96.0511
2001-12-31,81.8227,60.5632,95.9092
2002-01-31,82.6296,60.7617,96.2538
2002-02-28,83.8923,61.1008,97.2674
2002-03-31,85.3068,61.3903,97.9162
2002-04-30,85.8194,61.8949,98.3926
2002-05-31,85.6865,62.2257,98.8284
2002-06-30,84.9555,62.2671,98.9298
2002-07-31,85.1549,62.5401,100.7847
2002-08-31,85.639,62.9619,100.9266
2002-09-30,86.1327,63.1356,101.849
2002-10-31,86.4744,63.0529,102.1126
2002-11-30,86.5409,62.9288,103.2073
2002-12-31,84.889,63.0198,104.302
2003-01-31,84.8701,63.21,103.704
2003-02-28,83.8923,63.2845,103.2276
2003-03-31,83.3416,63.0612,103.8661
2003-04-30,81.7942,62.9619,104.8696
2003-05-31,80.8259,62.3498,106.4002
2003-06-30,82.2214,62.3085,104.8899
2003-07-31,83.6359,62.8957,104.3223
2003-08-31,84.7656,63.1191,103.9776
2003-09-30,86.3605,63.2431,103.5215
