date,MSCI_EMI
2018-02-02,14864.2967801386
2018-02-05,14657.15653776
2018-02-06,14019.7784413512
2018-02-07,14152.716766881
2018-02-08,14141.8589133848
2018-02-09,13748.746070332
2018-02-12,13709.7936208387
2018-02-13,13924.4121453575
2018-02-14,13879.4328464439
2018-02-15,13961.0105673192
2018-02-16,13952.91529369
2018-02-19,14005.6453165293
2018-02-20,14006.0838914964
2018-02-21,14101.6182957336
2018-02-22,13987.153228608
2018-02-23,14037.55420514
2018-02-26,14103.064711116
2018-02-27,14204.4995060456
2018-02-28,14089.2922626689
2018-03-01,14121.4152958515
2018-03-02,14053.5917624402
2018-03-05,13906.7458411026
2018-03-06,14049.023719633
2018-03-07,14067.2589942944
2018-03-08,14219.4820625256
2018-03-09,14254.6816750172
2018-03-12,14440.0528015132
2018-03-13,14450.39922103
2018-03-14,14335.2852369272
2018-03-15,14463.8730421962
2018-03-16,14520.6513051565
2018-03-19,14454.518716648
2018-03-20,14468.428953934
2018-03-21,14297.65719576
2018-03-22,14165.278121776
2018-03-23,13754.9101705413
2018-03-26,13735.0577886894
2018-03-27,13825.66386201
2018-03-28,13682.0752161258
2018-03-29,13834.517258511
2018-03-30,13852.617368938
2018-04-02,13846.688676268
2018-04-03,13827.977315889
2018-04-04,13723.27774875
2018-04-05,13962.81911787
2018-04-06,13966.85737936
2018-04-09,14053.94329482
2018-04-10,14140.6798641863
2018-04-11,14029.2043328112
2018-04-12,14184.724695408
2018-04-13,14113.014023823
2018-04-16,14017.1702843
2018-04-17,13943.21054495
2018-04-18,14024.9255387255
2018-04-19,14154.4430764815
2018-04-20,14121.8474315203
2018-04-23,14304.51797775
2018-04-24,14218.080574935
2018-04-25,14177.3699302301
2018-04-26,14188.160118665
2018-04-27,14247.5528156135
2018-04-30,14513.192533923
2018-05-01,14716.93810824
2018-05-02,14624.0425955664
2018-05-03,14304.7951103298
2018-05-04,14185.10180175
2018-05-07,14287.0251875276
2018-05-08,14357.578826815
2018-05-09,14356.458461832
2018-05-10,14216.8397504925
2018-05-11,14263.777818414
2018-05-14,14404.306529393
2018-05-15,14448.1708656576
2018-05-16,14358.4083602085
2018-05-17,14411.1553996716
2018-05-18,14511.939196925
2018-05-21,14400.834247425
2018-05-22,14350.1113380528
2018-05-23,14102.1780397198
2018-05-24,14092.2636284492
2018-05-25,14188.9922122025
2018-05-28,14158.752526074
2018-05-29,14281.1840455494
2018-05-30,13916.923690208
2018-05-31,14227.415189215
2018-06-01,14326.1681605056
2018-06-04,14395.9880732556
2018-06-05,14607.599369284
2018-06-06,14608.8391773765
2018-06-07,14932.8819190268
2018-06-08,14825.900695618
2018-06-11,14992.8544708236
2018-06-12,15203.1835131912
2018-06-13,15106.6061548264
2018-06-14,15138.7107147664
2018-06-15,14957.105176844
2018-06-18,15080.6415458445
2018-06-19,14910.48198516
2018-06-20,14920.3667963736
2018-06-21,14660.337512808
2018-06-22,14615.4139442075
2018-06-25,14502.15303638
2018-06-26,14453.109237312
2018-06-27,14572.883356929
2018-06-28,14400.608622726
2018-06-29,14676.450298455
2018-07-02,14639.79572494
2018-07-03,14457.0719286656
2018-07-04,14440.7584217083
2018-07-05,14266.7147075202
2018-07-06,14262.0781236208
2018-07-09,14412.5280962936
2018-07-10,14339.666712861
2018-07-11,14431.2574444185
2018-07-12,14229.6042209904
2018-07-13,14263.9797910581
2018-07-16,14137.4688817152
2018-07-17,14203.5513401005
2018-07-18,14172.067683158
2018-07-19,14343.5686237272
2018-07-20,14328.2933710596
2018-07-23,14385.019252
2018-07-24,14347.42770176
2018-07-25,14265.6347213751
2018-07-26,14407.4841858003
2018-07-27,14380.179628527
2018-07-30,14337.7905095146
2018-07-31,14430.53976646
2018-08-01,14368.48587394
2018-08-02,14347.5708753311
2018-08-03,14291.1855616356
2018-08-06,14385.9790214651
2018-08-07,14391.6086699776
2018-08-08,14455.404850076
2018-08-09,14781.8681888944
2018-08-10,14978.341447435
2018-08-13,15029.779857624
2018-08-14,14835.4535510289
2018-08-15,14898.1306956384
2018-08-16,15035.684526016
2018-08-17,14972.0084368463
2018-08-20,15010.4036203478
2018-08-21,15016.469070915
2018-08-22,14877.4670992192
2018-08-23,15083.58752408
2018-08-24,14916.5389471413
2018-08-27,15140.2513571832
2018-08-28,15229.52520335
2018-08-29,15351.36163974
2018-08-30,15558.4589202189
2018-08-31,15501.49040716
2018-09-03,15539.7746710812
2018-09-04,15946.366120092
2018-09-05,15765.12847497
2018-09-06,15598.8319733136
2018-09-07,15572.052050933
2018-09-10,15349.5267666338
2018-09-11,15096.100682364
2018-09-12,15009.3248048124
2018-09-13,15028.9639319928
2018-09-14,15345.115857216
2018-09-17,15153.1430528298
2018-09-18,15192.5128006256
2018-09-19,15130.7960330436
2018-09-20,14805.1417694817
2018-09-21,15034.0482193266
2018-09-24,14968.1793248262
2018-09-25,14944.1377505976
2018-09-26,14769.86159104
2018-09-27,14834.088888255
2018-09-28,14817.2105423258
2018-10-01,14871.408788148
2018-10-02,14827.6415381948
2018-10-03,15152.4911979564
2018-10-04,15014.9276585361
2018-10-05,14774.4686431362
2018-10-08,14770.3525281449
2018-10-09,14464.8735540691
2018-10-10,14541.3368514775
2018-10-11,13964.3250904446
2018-10-12,14225.4792347084
2018-10-15,13956.9269132625
2018-10-16,13936.519307573
2018-10-17,14007.666390548
2018-10-18,14016.1489906684
2018-10-19,14000.1258545488
2018-10-22,14068.414254713
2018-10-23,13685.0531766907
2018-10-24,13871.6490683255
2018-10-25,13864.1979524793
2018-10-26,13705.3674415495
2018-10-29,13754.0272736545
2018-10-30,13660.3858025182
2018-10-31,14133.139386171
