date,MSCI_ACWI
2005-09-23,4504.09982520155
2005-09-26,4531.0947808665
2005-09-27,4577.03721945
2005-09-28,4555.7758927165
2005-09-29,4575.7882084695
2005-09-30,4588.45451700445
2005-10-03,4630.035291234
2005-10-04,4617.8738584088
2005-10-05,4615.905072282
2005-10-06,4582.11485007478
2005-10-07,4598.309971695
2005-10-10,4536.885570653
2005-10-11,4579.49583103155
2005-10-12,4572.0385897131
2005-10-13,4543.084066995
2005-10-14,4544.200319584
2005-10-17,4545.6405644101
2005-10-18,4526.476993408
2005-10-19,4528.030188795
2005-10-20,4540.942954478
2005-10-21,4532.754274471
2005-10-24,4592.28347043612
2005-10-25,4596.92532040086
2005-10-26,4656.4383701385
2005-10-27,4627.14794148176
2005-10-28,4652.820412975
2005-10-31,4700.277947772
2005-11-01,4690.75898505175
