date,MSCI_IMI
2013-05-16,10054.09044
2013-05-17,10182.436692
2013-05-20,10262.587104
2013-05-21,10389.729278
2013-05-22,10360.8371
2013-05-23,10183.491864
2013-05-24,10184.174634
2013-05-27,10228.424375
2013-05-28,10465.14368
2013-05-29,10482.090017
2013-05-30,10735.453372
2013-05-31,10606.61316
2013-06-03,10367.200625
2013-06-04,10328.7933
2013-06-05,10417.18693
2013-06-06,10244.164419
2013-06-07,10452.37264
2013-06-10,10709.11872
2013-06-11,10519.454064
2013-06-12,10535.47071
2013-06-13,10345.76199
2013-06-14,10396.97335
2013-06-17,10521.102255
2013-06-18,10582.996827
2013-06-19,10726.592348
2013-06-20,10396.67545
2013-06-21,10318.165858
2013-06-24,10127.000113
2013-06-25,10196.228454
2013-06-26,10295.7058
2013-06-27,10254.62468
2013-06-28,10130.0116
2013-07-01,10271.183715
2013-07-02,10341.28907
2013-07-03,10408.57167
2013-07-04,10406.9966
2013-07-05,10595.14544
2013-07-08,10614.04821
2013-07-09,10543.262127
2013-07-10,10585.0874
2013-07-11,10709.6542
2013-07-12,10764.797704
2013-07-15,10663.38896
2013-07-16,10640.6595
2013-07-17,10582.22672
2013-07-18,10800.83335
2013-07-19,10702.97013
2013-07-22,10748.927168
2013-07-23,10545.08305
2013-07-24,10685.54125
2013-07-25,10570.6638
2013-07-26,10622.7275
2013-07-29,10584.63725
2013-07-30,10655.523246
2013-07-31,10665.88248
2013-08-01,10906.08625
2013-08-02,10813.4035
2013-08-05,10805.56029
2013-08-06,10883.65904
2013-08-07,10851.960723
2013-08-08,10857.763665
2013-08-09,10787.57467
2013-08-12,10816.232875
2013-08-13,10956.42156
2013-08-14,10975.118838
2013-08-15,10864.340116
2013-08-16,10927.854082
2013-08-19,11001.08076
2013-08-20,10954.5894
2013-08-21,11126.924376
2013-08-22,11072.5588
2013-08-23,11104.72506
2013-08-26,11171.51008
2013-08-27,11125.09167
2013-08-28,11015.846592
2013-08-29,11037.90077
2013-08-30,10879.9119
2013-09-02,10945.52379
2013-09-03,11038.99335
2013-09-04,11020.12176
2013-09-05,11024.84232
2013-09-06,10819.5984
2013-09-09,10859.9478
2013-09-10,11037.17316
2013-09-11,10905.438505
2013-09-12,10997.2068
2013-09-13,11009.767451
2013-09-16,10915.724314
2013-09-17,10917.818492
2013-09-18,10807.056
2013-09-19,10985.545125
2013-09-20,11114.869584
2013-09-23,11037.220848
2013-09-24,11058.743115
2013-09-25,11182.670131
2013-09-26,11259.161925
2013-09-27,11316.75369
2013-09-30,11217.34852
2013-10-01,11351.54688
2013-10-02,11217.556053
2013-10-03,11174.4132
2013-10-04,11195.552955
2013-10-07,11090.4673
2013-10-08,10984.67104
2013-10-09,10969.12905
2013-10-10,11046.83847
2013-10-11,11117.3214
2013-10-14,11180.69505
2013-10-15,11216.88036
2013-10-16,11174.1498
2013-10-17,11247.442872
2013-10-18,11290.9002
2013-10-21,11417.58928
2013-10-22,11317.7125
2013-10-23,11320.444278
2013-10-24,11320.202205
2013-10-25,11403.8928
2013-10-28,11417.805694
2013-10-29,11519.316182
2013-10-30,11560.0124
2013-10-31,11619.783801
2013-11-01,11742.9312
2013-11-04,11778.867804
2013-11-05,11823.10314
2013-11-06,11912.0232
2013-11-07,11855.22624
2013-11-08,11944.96483
2013-11-11,11969.26445
2013-11-12,11965.8336
2013-11-13,11888.1438
2013-11-14,11915.988495
2013-11-15,11942.690325
2013-11-18,11932.18354
2013-11-19,11876.17999
2013-11-20,11855.158056
2013-11-21,11819.57918
2013-11-22,11847.08784
2013-11-25,11835.49398
2013-11-26,11872.209037
2013-11-27,12069.559139
2013-11-28,12054.204156
2013-11-29,12010.21695
2013-12-02,12089.135136
2013-12-03,12089.7768
2013-12-04,12134.2083
2013-12-05,12084.904
2013-12-06,12069.415132
2013-12-09,12149.77246
2013-12-10,12091.81281
2013-12-11,11999.94786
2013-12-12,11932.61932
2013-12-13,11867.32464
